Formatted ID,Name,Owner,Test Case Status,Defect Status,Schedule State,Passing Test Case Count,Test Case Count,Last Update Date,Feature,Blocked,Iteration
S734761,Tollgate - Documentation and Training,Vineeth Malladi,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 1 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,1,1,02/15/2019 12:30 AM CST,Feature F117755: MEA Oman English Skiny Site Customization,FALSE,MCCOM Oman English Skinny Site Customization 2018-19
S734760,Tollgate - Performance and Failure Testing (aka Chaos Testing),Vineeth Malladi,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 1 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,1,1,02/15/2019 12:31 AM CST,Feature F117755: MEA Oman English Skiny Site Customization,FALSE,MCCOM Oman English Skinny Site Customization 2018-19
S734759,Tollgate - Regression and Journey Test,Vineeth Malladi,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 1 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,1,1,02/15/2019 12:31 AM CST,Feature F117755: MEA Oman English Skiny Site Customization,FALSE,MCCOM Oman English Skinny Site Customization 2018-19
S734758,Tollgate - Regression Test for Prior INC/PRB's,Vineeth Malladi,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 1 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,1,1,02/15/2019 12:31 AM CST,Feature F117755: MEA Oman English Skiny Site Customization,FALSE,MCCOM Oman English Skinny Site Customization 2018-19
S734757,Tollgate - Security And Vulnerabilities,Vineeth Malladi,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 1 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,1,1,02/15/2019 12:31 AM CST,Feature F117755: MEA Oman English Skiny Site Customization,FALSE,MCCOM Oman English Skinny Site Customization 2018-19
S682296,MC - About Mastercard Section - What We Do - Global Privacy Policy,Shreya Badkelwar,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 38 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,38,38,02/12/2019 03:13 AM CST,Feature F119155: MEA Oman Arabic Skiny Site Customization,FALSE,MCCOM Oman Arabic Skinny Site Customization 2018-19
S682297,MC - About Mastercard Section - What We Do - Global Privacy Policy - Data Analytics Opt Out page,Shreya Badkelwar,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 38 Pass","1 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,38,38,02/12/2019 03:15 AM CST,Feature F119155: MEA Oman Arabic Skiny Site Customization,FALSE,MCCOM Oman Arabic Skinny Site Customization 2018-19
S682298,MC - About Mastercard Section - What We Do - Global Privacy Policy - Email Opt Out,Shreya Badkelwar,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 38 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,38,38,02/12/2019 03:15 AM CST,Feature F119155: MEA Oman Arabic Skiny Site Customization,FALSE,MCCOM Oman Arabic Skinny Site Customization 2018-19
S682299,MC - About Mastercard Section - What We Do - Global Privacy Policy - Web Analytics Opt Out page,Shreya Badkelwar,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 38 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,38,38,02/12/2019 03:15 AM CST,Feature F119155: MEA Oman Arabic Skiny Site Customization,FALSE,MCCOM Oman Arabic Skinny Site Customization 2018-19
S682300,MC - About Mastercard Section - What We Do - Terms of use,Shreya Badkelwar,"0 None Run, 0 Blocked, 0 Error, 0 Excluded, 0 Fail, 0 Inconclusive, 38 Pass","0 New, 0 Open, 0 Pending, 0 Queued, 0 Monitor, 0 Known Error, 0 Resolved, 0 Unresolved, 0 Closed, 0 Cancel, 0 Blocked",Ready to Ship,38,38,02/12/2019 03:15 AM CST,Feature F119155: MEA Oman Arabic Skiny Site Customization,FALSE,MCCOM Oman Arabic Skinny Site Customization 2018-19
